advfront,relaxhr,emailhr,emailmin,tvhr,polviews,wrkstat,email
Strongly agree,3,25,0,3,Conservative,Temp not working,1500
Disagree,3,20,0,1,Slghtly conservative,Working fulltime,1200
Not applicable,7,7,0,1,Moderate,Working fulltime,420
Strongly agree,Not applicable,2,0,10,Slightly liberal,Retired,120
Agree,0,0,0,4,Moderate,Working fulltime,0
Not applicable,4,2,0,2,Don't know,Working fulltime,120
Agree,0,20,0,3,Conservative,Working fulltime,1200
Not applicable,5,1,0,3,Moderate,Working parttime,60
Agree,Not applicable,1,0,8,Moderate,Retired,60
Strongly agree,Not applicable,0,0,8,Liberal,Keeping house,0
Agree,5,1,0,5,Slghtly conservative,Working parttime,60
Not applicable,Not applicable,14,0,3,Liberal,"Unempl, laid off",840
Agree,Not applicable,0,30,1,Conservative,Keeping house,30
Not applicable,4,15,0,0,Moderate,Working fulltime,900
Agree,2,4,30,1,Conservative,Working fulltime,270
Agree,8,1,0,5,Moderate,Working fulltime,60
Strongly agree,1,2,0,1,Extremely liberal,Working fulltime,120
Strongly agree,2,1,0,2,Conservative,Working parttime,60
Agree,4,1,0,2,Moderate,Working fulltime,60
Agree,Not applicable,1,0,3,Extrmly conservative,Keeping house,60
Not applicable,Not applicable,3,1,5,Extrmly conservative,Retired,181
Agree,Not applicable,3,30,3,Moderate,Keeping house,210
Strongly agree,0,10,0,3,Extremely liberal,Working fulltime,600
Agree,7,0,0,2,Conservative,Working parttime,0
Strongly agree,8,10,0,2,Moderate,Working parttime,600
Strongly agree,3,7,0,1,Slghtly conservative,Working fulltime,420
Not applicable,5,0,15,2,Slightly liberal,Working parttime,15
Agree,6,0,0,5,Moderate,Working fulltime,0
Not applicable,Not applicable,3,0,8,Moderate,Retired,180
Not applicable,3,5,0,5,Slghtly conservative,Working parttime,300
Agree,1,10,0,2,Slightly liberal,Working parttime,600
Not applicable,Not applicable,21,0,3,Slightly liberal,Keeping house,1260
Agree,Not applicable,3,0,0,Conservative,Retired,180
Agree,Not applicable,7,0,2,Moderate,Retired,420
Strongly agree,2,25,0,2,Moderate,Working fulltime,1500
Strongly agree,2,1,0,20,Moderate,Working fulltime,60
Not applicable,3,3,0,1,Slightly liberal,Working fulltime,180
Disagree,Not applicable,0,30,1,Moderate,Keeping house,30
Agree,Not applicable,0,10,0,Don't know,"Unempl, laid off",10
Not applicable,4,5,0,12,Moderate,Working parttime,300
Agree,Not applicable,3,0,17,Liberal,Keeping house,180
Strongly agree,3,20,0,10,Extremely liberal,Working parttime,1200
Agree,2,1,0,4,Moderate,Working fulltime,60
Strongly agree,Not applicable,1,0,5,Moderate,Retired,60
Not applicable,Not applicable,0,10,3,Moderate,Retired,10
Strongly agree,Not applicable,2,0,1,Liberal,Retired,120
Agree,0,2,0,1,Conservative,Working fulltime,120
Agree,2,25,0,0,Slightly liberal,Working fulltime,1500
Agree,Not applicable,0,20,4,Extremely liberal,Keeping house,20
Not applicable,Not applicable,5,0,5,Moderate,Keeping house,300
Not applicable,2,4,0,2,Liberal,Working fulltime,240
Strongly agree,Not applicable,3,0,5,Slightly liberal,Keeping house,180
Disagree,2,40,0,1,Conservative,Working fulltime,2400
Not applicable,Not applicable,0,0,2,Moderate,Keeping house,0
Not applicable,No answer,3,0,3,No answer,No answer,180
Strongly agree,Not applicable,2,30,5,Liberal,Retired,150
Agree,2,10,0,2,No answer,Working fulltime,600
Strongly agree,3,2,0,2,Moderate,Working fulltime,120
Agree,0,3,0,1,Extrmly conservative,Working fulltime,180
Agree,8,2,0,0,Slightly liberal,Working fulltime,120
Not applicable,5,0,0,3,Liberal,Working fulltime,0
Not applicable,3,6,0,3,Liberal,Working fulltime,360
Strongly agree,6,10,0,2,Moderate,Working fulltime,600
Not applicable,5,40,0,1,Moderate,Temp not working,2400
Strongly agree,6,10,0,4,Extremely liberal,Working parttime,600
Not applicable,5,3,0,1,Slightly liberal,Working parttime,180
Strongly agree,3,1,0,5,Liberal,Working fulltime,60
Strongly agree,2,20,0,0,Slghtly conservative,Temp not working,1200
Dont know,0,1,0,3,Conservative,Working fulltime,60
Agree,Not applicable,0,0,3,Liberal,Retired,0
Not applicable,8,5,0,8,Extremely liberal,Temp not working,300
Agree,4,2,0,1,Slghtly conservative,Working fulltime,120
Not applicable,6,0,0,12,Moderate,Working fulltime,0
Not applicable,4,2,0,5,Don't know,Temp not working,120
Not applicable,Not applicable,8,0,6,Slightly liberal,Keeping house,480
Agree,4,5,0,1,Conservative,Working parttime,300
Not applicable,Not applicable,0,30,8,Extremely liberal,Keeping house,30
Not applicable,5,20,0,2,Slightly liberal,Working fulltime,1200
Strongly agree,4,25,0,2,Slghtly conservative,Working fulltime,1500
Not applicable,Not applicable,1,0,4,Moderate,Retired,60
Agree,5,1,0,4,Moderate,Working fulltime,60
Agree,2,30,0,3,Extrmly conservative,Working fulltime,1800
Strongly agree,5,3,0,4,Liberal,Working parttime,180
Agree,4,1,0,2,Slightly liberal,Working fulltime,60
Strongly agree,2,2,0,2,Conservative,Working fulltime,120
Agree,1,30,0,1,Moderate,Working fulltime,1800
Strongly agree,Not applicable,2,0,1,Extremely liberal,Keeping house,120
Strongly agree,5,20,0,0,Liberal,Working fulltime,1200
Not applicable,4,40,0,2,Liberal,Working fulltime,2400
Disagree,4,0,0,0,Slightly liberal,Working fulltime,0
Strongly agree,Not applicable,2,0,2,Moderate,School,120
Not applicable,1,1,0,1,Moderate,Working fulltime,60
Agree,8,0,0,3,Moderate,Working fulltime,0
Not applicable,4,1,0,2,Liberal,Working parttime,60
Disagree,Not applicable,0,0,4,No answer,Keeping house,0
Disagree,Not applicable,1,0,4,Moderate,School,60
Not applicable,1,20,0,1,Slightly liberal,Working fulltime,1200
Agree,8,0,0,0,Conservative,Working fulltime,0
Disagree,Not applicable,100,0,1,Moderate,"Unempl, laid off",6000
Not applicable,2,2,0,3,Don't know,Working fulltime,120
Agree,Not applicable,0,30,0,Moderate,School,30
Not applicable,5,5,0,2,Liberal,Working fulltime,300
Not applicable,Not applicable,2,0,5,Slghtly conservative,"Unempl, laid off",120
Agree,1,0,20,2,Slghtly conservative,Working fulltime,20
Agree,1,24,0,1,Moderate,Working parttime,1440
Not applicable,2,1,0,1,Moderate,Working fulltime,60
Agree,0,0,0,0,Moderate,Working fulltime,0
Agree,Not applicable,0,40,4,Liberal,School,40
Agree,3,24,0,2,Moderate,Working fulltime,1440
Disagree,Not applicable,0,0,0,Liberal,Retired,0
Disagree,No answer,2,0,8,Liberal,Working parttime,120
Agree,1,0,45,3,Slightly liberal,Working fulltime,45
Strongly agree,Not applicable,2,0,2,Conservative,Retired,120
Not applicable,Not applicable,2,0,1,Conservative,Keeping house,120
Agree,1,25,0,1,Extremely liberal,Working fulltime,1500
Agree,5,10,0,0,Slightly liberal,Working fulltime,600
Agree,Not applicable,0,0,3,Moderate,Keeping house,0
Not applicable,Not applicable,0,0,1,Liberal,Retired,0
Strongly agree,2,15,0,1,Liberal,Working fulltime,900
Agree,4,15,0,2,Moderate,Working fulltime,900
Agree,0,7,0,3,Moderate,Working fulltime,420
Strongly agree,Not applicable,0,15,8,Moderate,Retired,15
Strongly agree,1,40,0,2,Slightly liberal,Working fulltime,2400
Agree,5,1,0,1,Conservative,Working fulltime,60
Strongly agree,Not applicable,1,0,2,Moderate,Keeping house,60
Agree,1,8,0,0,Moderate,Working fulltime,480
Not applicable,Not applicable,0,0,10,Extrmly conservative,Retired,0
Agree,2,15,0,2,Conservative,Working fulltime,900
Strongly agree,4,1,0,3,Extrmly conservative,Working fulltime,60
Agree,3,0,30,3,Slightly liberal,Working fulltime,30
Agree,0,1,0,1,Conservative,Working parttime,60
Strongly agree,2,10,0,1,Moderate,Working fulltime,600
Agree,Not applicable,2,0,1,Moderate,Keeping house,120
Agree,Not applicable,1,0,6,Moderate,Keeping house,60
Agree,Not applicable,2,0,4,Moderate,Retired,120
Disagree,8,0,30,0,Conservative,Working fulltime,30
Not applicable,Not applicable,0,0,6,Extrmly conservative,Keeping house,0
Agree,Not applicable,0,0,8,Moderate,"Unempl, laid off",0
Not applicable,2,5,0,1,Conservative,Working fulltime,300
Strongly agree,Not applicable,0,0,15,Moderate,Retired,0
Agree,Not applicable,3,0,0,Moderate,School,180
Agree,1,1,0,2,Moderate,Working parttime,60
Disagree,0,0,0,0,Slightly liberal,Working fulltime,0
Strongly agree,6,0,10,2,Moderate,Working parttime,10
Agree,Dont know,0,0,3,Moderate,Working parttime,0
Strongly agree,1,2,0,2,Moderate,Working parttime,120
Strongly agree,Not applicable,0,0,2,Liberal,"Unempl, laid off",0
Not applicable,Not applicable,14,0,6,Slghtly conservative,Keeping house,840
Agree,3,0,0,3,Moderate,Working parttime,0
Agree,4,8,0,1,Conservative,Working fulltime,480
Agree,Not applicable,1,0,6,Extremely liberal,Keeping house,60
Strongly agree,2,25,0,2,Liberal,Working fulltime,1500
Agree,5,5,0,2,Moderate,Working fulltime,300
Not applicable,8,2,0,4,Slghtly conservative,Temp not working,120
Agree,Not applicable,2,0,2,Slightly liberal,Keeping house,120
Not applicable,3,30,0,3,Extrmly conservative,Working fulltime,1800
Agree,4,20,0,2,Slightly liberal,Working fulltime,1200
Agree,0,3,0,3,Liberal,Working parttime,180
Strongly disagree,3,1,0,1,Moderate,Working fulltime,60
Agree,Not applicable,1,0,3,Slghtly conservative,Retired,60
Not applicable,2,25,0,1,Slightly liberal,Working fulltime,1500
Not applicable,Not applicable,2,0,18,Liberal,"Unempl, laid off",120
Agree,4,10,0,0,Liberal,Working fulltime,600
Agree,Not applicable,6,0,2,Moderate,Retired,360
Disagree,2,4,0,2,Slghtly conservative,Working fulltime,240
Strongly agree,Not applicable,12,0,1,Liberal,Retired,720
Agree,2,30,0,1,Moderate,Working fulltime,1800
Not applicable,2,2,0,3,Conservative,Working parttime,120
Agree,Not applicable,2,0,2,Slghtly conservative,"Unempl, laid off",120
Agree,Not applicable,1,0,1,Liberal,School,60
Not applicable,2,1,0,0,Moderate,Working fulltime,60
Agree,3,1,0,1,Liberal,Working fulltime,60
Agree,8,1,0,1,Slghtly conservative,Working fulltime,60
Strongly agree,8,0,30,2,Extremely liberal,Working fulltime,30
Not applicable,1,20,0,1,Slightly liberal,Working fulltime,1200
Agree,5,10,0,2,Moderate,Working fulltime,600
Agree,5,25,0,2,Moderate,Working fulltime,1500
Not applicable,4,1,0,3,Slghtly conservative,Working fulltime,60
Strongly agree,Not applicable,3,0,3,Slghtly conservative,Retired,180
Not applicable,Not applicable,20,0,3,Moderate,Retired,1200
Agree,1,20,0,2,Slightly liberal,Working fulltime,1200
Not applicable,8,0,0,1,Moderate,Working fulltime,0
Agree,Not applicable,0,10,6,Slightly liberal,Retired,10
Strongly agree,3,10,0,1,Moderate,Working fulltime,600
Agree,5,2,0,2,Slghtly conservative,Working fulltime,120
Agree,3,40,0,3,Liberal,Working fulltime,2400
Agree,Not applicable,8,0,1,Slghtly conservative,School,480
Agree,Not applicable,20,0,7,Slightly liberal,Retired,1200
Strongly agree,5,10,0,4,Moderate,Working fulltime,600
Strongly agree,3,25,0,2,Slightly liberal,Working fulltime,1500
Agree,2,0,0,1,Moderate,Working fulltime,0
Not applicable,5,15,0,2,Liberal,Working fulltime,900
Strongly agree,3,0,0,1,Liberal,Working fulltime,0
Disagree,2,1,0,2,Moderate,Working fulltime,60
Strongly agree,Not applicable,7,0,4,Slghtly conservative,Retired,420
Agree,6,5,0,0,Moderate,Working fulltime,300
Agree,3,2,0,1,Moderate,Working fulltime,120
Strongly agree,Not applicable,1,0,0,Conservative,Retired,60
Agree,1,25,0,0,Conservative,Working fulltime,1500
Agree,4,16,0,8,Conservative,Working fulltime,960
Agree,5,5,0,8,Liberal,Working parttime,300
Disagree,Not applicable,1,0,2,Extrmly conservative,Retired,60
Agree,Not applicable,0,0,16,Moderate,Retired,0
Agree,Not applicable,5,0,1,Liberal,Keeping house,300
Not applicable,3,4,36,2,Liberal,Working fulltime,276
Strongly agree,Not applicable,14,0,2,Moderate,School,840
Not applicable,Not applicable,4,0,5,Extremely liberal,Keeping house,240
Strongly disagree,Not applicable,1,0,1,Extrmly conservative,Retired,60
Agree,Not applicable,1,0,3,Moderate,Retired,60
Not applicable,1,10,0,1,Slghtly conservative,Working fulltime,600
Not applicable,3,6,0,2,Conservative,Working fulltime,360
Strongly agree,No answer,20,0,4,Don't know,Working fulltime,1200
Not applicable,3,20,0,0,Conservative,Working fulltime,1200
Agree,Not applicable,15,0,3,Liberal,School,900
Agree,3,8,0,2,Moderate,Working fulltime,480
Agree,Not applicable,7,0,6,Moderate,Retired,420
Agree,Not applicable,80,0,8,Moderate,School,4800
Strongly agree,2,40,0,2,Moderate,Working fulltime,2400
Disagree,Not applicable,5,0,2,Moderate,Other,300
Strongly agree,Not applicable,4,0,5,Moderate,Retired,240
Agree,1,40,0,1,Liberal,Working fulltime,2400
Not applicable,1,20,0,1,Conservative,Working fulltime,1200
Agree,2,1,0,3,Slghtly conservative,Working fulltime,60
Not applicable,Not applicable,0,10,2,Extrmly conservative,Retired,10
Strongly agree,Not applicable,1,0,3,Moderate,Keeping house,60
Disagree,4,1,0,1,Moderate,Working parttime,60
Agree,5,25,0,1,Slghtly conservative,Working fulltime,1500
Agree,2,20,0,0,Liberal,Working fulltime,1200
Agree,0,15,0,0,Slghtly conservative,Working fulltime,900
Strongly agree,No answer,40,0,10,Moderate,Working fulltime,2400
Agree,2,12,0,1,Slghtly conservative,Working fulltime,720
Strongly agree,3,20,0,1,Liberal,Working fulltime,1200
Strongly agree,Not applicable,15,0,5,Slghtly conservative,Retired,900
Agree,2,15,0,3,Slghtly conservative,Working fulltime,900
Strongly agree,2,0,10,1,Liberal,Working fulltime,10
Agree,Not applicable,0,20,2,Moderate,Retired,20
Disagree,Not applicable,2,0,2,Slghtly conservative,Keeping house,120
Agree,No answer,3,0,2,Liberal,Working parttime,180
Agree,2,4,0,3,Moderate,Working parttime,240
Strongly agree,Not applicable,3,0,2,Liberal,Retired,180
Agree,1,40,0,1,Liberal,Working fulltime,2400
Strongly agree,4,30,0,4,Extremely liberal,Working fulltime,1800
Not applicable,3,15,0,1,Moderate,Working fulltime,900
Agree,4,4,0,0,Moderate,Working fulltime,240
Strongly agree,Not applicable,0,0,3,Don't know,Retired,0
Not applicable,4,10,0,1,Slightly liberal,Working fulltime,600
Agree,Not applicable,0,0,5,No answer,Keeping house,0
Strongly agree,6,4,0,0,Liberal,Working fulltime,240
Not applicable,Not applicable,6,0,6,Conservative,Retired,360
Strongly agree,1,10,0,1,Extremely liberal,Working parttime,600
Strongly agree,Not applicable,0,30,2,Moderate,Retired,30
Agree,Not applicable,1,0,3,Moderate,Retired,60
Agree,3,14,0,0,Slightly liberal,Working fulltime,840
Not applicable,Not applicable,0,0,9,Slghtly conservative,Other,0
Not applicable,3,1,0,1,Extremely liberal,Working parttime,60
Agree,Not applicable,1,0,1,Moderate,Keeping house,60
Agree,Not applicable,0,0,3,Conservative,Retired,0
Agree,Not applicable,3,0,2,Conservative,"Unempl, laid off",180
Not applicable,2,3,0,0,Conservative,Temp not working,180
Strongly agree,Not applicable,0,0,15,Liberal,Other,0
Strongly agree,3,1,0,2,Slghtly conservative,Working fulltime,60
Agree,No answer,1,0,2,Moderate,Temp not working,60
Agree,2,4,0,2,Moderate,Working fulltime,240
Strongly agree,1,35,0,3,Conservative,Working fulltime,2100
Strongly agree,1,10,0,2,Moderate,Working fulltime,600
Not applicable,2,14,0,1,Moderate,Working fulltime,840
Strongly agree,5,8,0,2,Slightly liberal,Temp not working,480
Agree,Not applicable,1,0,4,Extrmly conservative,Retired,60
Not applicable,3,1,0,7,Moderate,Working fulltime,60
Disagree,4,0,0,4,No answer,Working fulltime,0
Strongly agree,2,6,0,2,Conservative,Working parttime,360
Agree,1,30,0,1,Liberal,Working fulltime,1800
Not applicable,2,10,0,3,Extremely liberal,Working fulltime,600
Not applicable,2,15,0,1,Liberal,Working fulltime,900
Agree,Not applicable,1,0,3,Moderate,Keeping house,60
Agree,3,25,0,0,Moderate,Working fulltime,1500
Not applicable,Not applicable,4,0,1,Liberal,School,240
Agree,Not applicable,2,0,3,Liberal,Keeping house,120
Agree,3,10,0,4,Moderate,Working fulltime,600
Disagree,1,30,0,0,Liberal,Working fulltime,1800
Disagree,3,4,0,2,Slightly liberal,Working fulltime,240
Strongly agree,3,40,0,1,Liberal,Working fulltime,2400
Strongly agree,Not applicable,1,0,1,Slightly liberal,School,60
Dont know,Not applicable,2,0,4,Conservative,Retired,120
Not applicable,7,0,0,20,Slghtly conservative,Working fulltime,0
Strongly agree,2,2,0,4,Liberal,Working fulltime,120
Strongly agree,Not applicable,1,0,5,Moderate,Retired,60
Not applicable,2,20,0,1,Moderate,Working fulltime,1200
Not applicable,Not applicable,6,0,6,Slghtly conservative,Retired,360
Agree,1,4,0,3,Slghtly conservative,Working fulltime,240
Agree,12,25,0,4,Slghtly conservative,Working fulltime,1500
Strongly agree,Not applicable,0,30,0,Extremely liberal,Retired,30
Agree,Not applicable,12,0,2,Liberal,Retired,720
Not applicable,Not applicable,8,0,4,Moderate,Retired,480
Strongly agree,2,2,0,2,Slightly liberal,Working fulltime,120
Strongly agree,Not applicable,1,0,5,Moderate,Retired,60
Not applicable,2,7,0,2,Slghtly conservative,Working fulltime,420
Agree,2,10,0,2,Extremely liberal,Working parttime,600
Dont know,Not applicable,5,0,5,Moderate,"Unempl, laid off",300
Agree,Not applicable,0,30,1,Conservative,Retired,30
Agree,2,1,0,6,Slghtly conservative,Working parttime,60
Not applicable,Not applicable,0,0,10,Moderate,Retired,0
Agree,1,0,0,1,Slightly liberal,Working fulltime,0
Not applicable,3,50,0,1,Conservative,Working fulltime,3000
Agree,6,70,0,4,Moderate,Working fulltime,4200
Agree,3,0,0,0,Slghtly conservative,Working fulltime,0
Agree,Not applicable,1,15,3,No answer,Keeping house,75
Strongly agree,3,1,0,2,Moderate,Working fulltime,60
Agree,5,8,0,3,Slightly liberal,Working fulltime,480
Strongly agree,6,15,0,4,Liberal,Working fulltime,900
Not applicable,0,7,0,2,Slghtly conservative,Working fulltime,420
Agree,2,10,0,3,Moderate,Working fulltime,600
Agree,2,45,0,1,Moderate,Working fulltime,2700
Strongly agree,3,30,0,1,Slghtly conservative,Working parttime,1800
Strongly agree,Not applicable,3,0,0,Moderate,"Unempl, laid off",180
Strongly agree,16,30,0,3,Moderate,Working fulltime,1800
Agree,Not applicable,0,30,3,Slghtly conservative,Keeping house,30
Agree,Not applicable,1,0,2,Liberal,Retired,60
Not applicable,Not applicable,1,0,6,Slightly liberal,Retired,60
Agree,5,10,0,2,Slghtly conservative,Working fulltime,600
Not applicable,3,3,0,1,Extrmly conservative,Working fulltime,180
Agree,3,0,30,4,Moderate,Working parttime,30
Agree,Not applicable,4,0,4,No answer,"Unempl, laid off",240
Disagree,5,1,0,1,Moderate,Working fulltime,60
Not applicable,4,0,0,2,Moderate,Working parttime,0
Disagree,Not applicable,1,0,5,Slghtly conservative,Keeping house,60
Agree,5,0,30,4,Slghtly conservative,Working fulltime,30
Agree,Not applicable,10,0,5,Slightly liberal,Keeping house,600
Not applicable,5,5,0,4,Slightly liberal,Working fulltime,300
Strongly agree,Not applicable,0,30,1,Slightly liberal,Retired,30
Agree,0,3,0,2,Conservative,Working fulltime,180
Disagree,4,10,0,0,Moderate,Working fulltime,600
Not applicable,Not applicable,2,0,0,Moderate,Retired,120
Agree,2,1,0,1,Moderate,Working fulltime,60
Agree,2,1,0,5,Liberal,Working parttime,60
Strongly agree,Not applicable,12,0,1,Moderate,Other,720
Strongly agree,Not applicable,2,0,2,Slightly liberal,Retired,120
Strongly agree,8,3,0,2,Moderate,Working parttime,180
Agree,5,10,0,2,Liberal,Working fulltime,600
Agree,3,50,0,3,Moderate,Working fulltime,3000
Agree,0,10,0,1,Moderate,Working fulltime,600
Disagree,10,0,0,4,Conservative,Working parttime,0
Not applicable,Not applicable,20,0,6,Conservative,Retired,1200
Not applicable,5,10,0,2,Slightly liberal,Working fulltime,600
Strongly agree,Not applicable,0,10,5,Moderate,Retired,10
Strongly agree,7,2,0,6,Moderate,Working parttime,120
Strongly agree,3,30,0,1,Don't know,Working fulltime,1800
Agree,4,30,0,1,Moderate,Working fulltime,1800
Disagree,4,1,0,2,Slghtly conservative,Working fulltime,60
Strongly agree,Not applicable,0,10,0,Extremely liberal,Retired,10
Not applicable,4,40,0,2,Moderate,Working fulltime,2400
Agree,4,4,0,1,No answer,Working fulltime,240
Strongly agree,3,1,0,0,Liberal,Working fulltime,60
